AMI Id,AMI Name,Creation Date,SNAPSHOT Count,SNAPSHOT Size (in GB),Deleted By
ami-001131671a7b6170c,SAPXS4DB02_AMI_30Dec2021,2021-12-29T21:58:52.000Z,10,3351,Vaibhav
ami-00197bd53037c11f9,SAPXS4MS01_AMI_30Dec2021,2021-12-29T21:58:03.000Z,6,434,Vaibhav
ami-002108e88bfe7863e,tedpoc6-AMIBackup15Dec2021,2021-12-14T19:42:45.000Z,2,200,Vaibhav
ami-002c1d04025b840dc,SAPDDSAP01_PostPatch_17022022,2022-02-17T11:12:56.000Z,6,944,Vaibhav
ami-00332678047709714,SAPXIES01_PrePatchAMI_14022022,2022-02-14T09:09:07.000Z,1,100,Vaibhav
ami-003f5ac9ddd5ae0db,SAPXS4DB01_AMI_30Dec2021,2021-12-29T21:59:40.000Z,11,5351,Vaibhav
ami-00588f269770548e1,SAPXS4DB01_FornewDB_30122021,2021-12-30T13:57:14.000Z,11,5351,Vaibhav
ami-00766317b8181df9a,SAPXS4MS02_AMI_23_Dec_2021,2021-12-23T16:14:39.000Z,5,334,Vaibhav
ami-00acdcff3eae5076a,AdhocAMIBackup_SAPDS4DB01_28May2021,2021-05-28T05:37:08.000Z,10,4176,Vaibhav
ami-00b158a0845098baa,SAPES4DB01_21022022_postrename,2022-02-21T07:55:00.000Z,13,3852,Vaibhav
ami-00b170daf0902f87f,AMI_SAPXGRDB01_14-12-2021,2021-12-14T09:53:38.000Z,10,1207,Vaibhav
ami-00b3461c97917c9ea,SAPXMIDB01_Metadata_220222,2022-02-22T12:45:39.000Z,12,702,Vaibhav
ami-00b5e381215c6cb68,SAPXS4DB03_R2_AMI_08022022,2022-02-08T14:09:40.000Z,13,4376,Vaibhav
ami-00b9d4e9cd590a2df,AMI_SAPXIES01_14-12-2021,2021-12-14T09:57:43.000Z,1,100,Vaibhav
ami-00bb6c1e87dd9f17d,SAPDSODB01_PostPatch_17022022,2022-02-17T11:27:25.000Z,10,2882,Vaibhav
ami-00c3ec98cc2b1a619,SAPXB4DB01_AMIBackup_9_Dec_2021,2021-12-09T18:13:09.000Z,10,4176,Vaibhav
ami-00d7476849004e66e,AMIBackup_SAPGSDDB01_17thFeb2022_PostReboot,2022-02-17T10:45:49.000Z,4,650,Vaibhav
ami-00da981bb5ca9588d,SAPXS4DB02_Before_termination_30122021,2021-12-30T13:45:01.000Z,10,3351,Vaibhav
ami-00dbfe9ceeffcb5b4,SAPDPOCIPA_PostPatchAMI_17022022,2022-02-17T09:38:59.000Z,5,302,Vaibhav
ami-00f7547ad701b31e8,SAPXS4MS02_AMI_29_12_2021,2021-12-28T18:38:53.000Z,6,434,Vaibhav
ami-0126f65102ae1e552,SAPXWDAP01_Metadata_220222,2022-02-22T12:38:12.000Z,5,236,Vaibhav
ami-015e10bb8d1019a79,SAPXBJDB01_AMI_30Dec2021,2021-12-29T21:49:53.000Z,11,4727,Vaibhav
ami-0164de95919697ab0,SAPDF4DB01_PostPatch_17022022,2022-02-17T11:16:35.000Z,11,2627,Vaibhav
ami-0175fdd2b99257de4,SAPDGRCIPA_PostPatchAMI_17022022,2022-02-17T09:38:06.000Z,5,302,Vaibhav
ami-01dad40b327f6f7bc,SAPXIES01_PostPatchAMI_14022022,2022-02-14T11:35:53.000Z,1,100,Vaibhav
ami-01f97f3aa2bd69b78,AMI_Backup_SAPGSDAP01_19March2021,2021-03-19T09:53:28.000Z,2,250,Vaibhav
ami-0201253d61df71e27,SAPDSUSEVUL_AMI_07122021,2021-12-07T11:57:42.000Z,2,200,Vaibhav
ami-02136d1efa0ad5378,AMI_SAPXB4CIPA_14-12-2021,2021-12-14T09:50:38.000Z,6,402,Vaibhav
ami-022003523db6224bc,AdhocAMIBackup_SAPDB4DB01_27/04/2021,2021-04-27T06:03:54.000Z,10,4176,Vaibhav
ami-0228d53168473a2fb,SAPXVRTXAP01_AMI_19_Nov_2021,2021-11-19T16:55:15.000Z,3,181,Vaibhav
ami-0228ee3247a40b424,SAPDGRDB01_PostPatchAMI_17022022,2022-02-17T09:38:34.000Z,10,1207,Vaibhav
ami-0233dd98623963758,SAPXVRTXAP01_Metadata_220222,2022-02-22T12:35:22.000Z,3,181,Vaibhav
ami-0252b35ac9e583c66,SAPXS4CIPA_AMI_30Dec2021,2021-12-29T21:45:20.000Z,6,534,Vaibhav
ami-027671a6a4e966fa4,SAPDPODB01_PostPatchAMI_17022022,2022-02-17T09:39:35.000Z,10,2327,Vaibhav
